x y y_analytic yRK4 yRK5 h
0 0 -1.22465e-16 0 0 1.94034e-06
0.001 -2.21749e-06 -1.5708e-06 -2.21749e-06 -2.18221e-06 1.39296e-06
0.002 -1.66619e-05 -6.28318e-06 -1.66619e-05 -1.65291e-05 1.64403e-06
0.003 -2.97169e-05 -1.41372e-05 -2.97169e-05 -2.96484e-05 1.5133e-06
0.004 -5.12049e-05 -2.51327e-05 -5.12049e-05 -5.11095e-05 1.57731e-06
0.005 -7.52997e-05 -3.92698e-05 -7.52997e-05 -7.52189e-05 1.54498e-06
0.006 -0.000105593 -5.65485e-05 -0.000105593 -0.000105505 1.56106e-06
0.007 -0.000140008 -7.69687e-05 -0.000140008 -0.000139923 1.553e-06
0.008 -0.000179741 -0.00010053 -0.000179741 -0.000179655 1.55703e-06
0.009 -0.000224119 -0.000127234 -0.000224119 -0.000224034 1.55502e-06
0.01 -0.000273518 -0.000157078 -0.000273518 -0.000273433 1.55603e-06
0.011 -0.000327732 -0.000190064 -0.000327732 -0.000327646 1.55553e-06
0.012 -0.000386872 -0.000226192 -0.000386872 -0.000386786 1.55578e-06
0.013 -0.000450878 -0.000265461 -0.000450878 -0.000450792 1.55566e-06
0.014 -0.000519782 -0.000307871 -0.000519782 -0.000519696 1.55573e-06
0.015 -0.000593567 -0.000353423 -0.000593567 -0.000593482 1.5557e-06
0.016 -0.000672242 -0.000402115 -0.000672242 -0.000672157 1.55572e-06
0.017 -0.000755803 -0.000453949 -0.000755803 -0.000755718 1.55572e-06
0.018 -0.000844252 -0.000508924 -0.000844252 -0.000844166 1.55573e-06
0.019 -0.000937587 -0.00056704 -0.000937587 -0.000937501 1.55573e-06
0.02 -0.00103581 -0.000628298 -0.00103581 -0.00103572 1.55574e-06
0.021 -0.00113892 -0.000692696 -0.00113892 -0.00113883 1.55574e-06
0.022 -0.00124691 -0.000760235 -0.00124691 -0.00124683 1.55575e-06
0.023 -0.00135979 -0.000830915 -0.00135979 -0.00135971 1.55575e-06
0.024 -0.00147756 -0.000904735 -0.00147756 -0.00147748 1.55576e-06
0.025 -0.00160022 -0.000981696 -0.00160022 -0.00160013 1.55577e-06
0.026 -0.00172776 -0.0010618 -0.00172776 -0.00172767 1.55577e-06
0.027 -0.00186019 -0.00114504 -0.00186019 -0.0018601 1.55578e-06
0.028 -0.0019975 -0.00123142 -0.0019975 -0.00199742 1.55579e-06
0.029 -0.0021397 -0.00132095 -0.0021397 -0.00213962 1.5558e-06
0.03 -0.00228679 -0.00141361 -0.00228679 -0.0022867 1.5558e-06
0.031 -0.00243876 -0.00150941 -0.00243876 -0.00243868 1.55581e-06
0.032 -0.00259562 -0.00160836 -0.00259562 -0.00259554 1.55582e-06
0.033 -0.00275737 -0.00171044 -0.00275737 -0.00275728 1.55583e-06
0.034 -0.002924 -0.00181566 -0.002924 -0.00292391 1.55584e-06
0.035 -0.00309551 -0.00192403 -0.00309551 -0.00309543 1.55585e-06
0.036 -0.00327192 -0.00203553 -0.00327192 -0.00327183 1.55586e-06
0.037 -0.00345321 -0.00215017 -0.00345321 -0.00345312 1.55587e-06
0.038 -0.00363938 -0.00226796 -0.00363938 -0.00363929 1.55588e-06
0.039 -0.00383044 -0.00238888 -0.00383044 -0.00383035 1.55589e-06
0.04 -0.00402638 -0.00251294 -0.00402638 -0.0040263 1.5559e-06
0.041 -0.00422721 -0.00264014 -0.00422721 -0.00422713 1.55591e-06
0.042 -0.00443293 -0.00277047 -0.00443293 -0.00443284 1.55592e-06
0.043 -0.00464353 -0.00290395 -0.00464353 -0.00464344 1.55594e-06
0.044 -0.00485901 -0.00304057 -0.00485901 -0.00485893 1.55595e-06
0.045 -0.00507938 -0.00318032 -0.00507938 -0.0050793 1.55596e-06
0.046 -0.00530464 -0.00332321 -0.00530464 -0.00530455 1.55597e-06
0.047 -0.00553477 -0.00346924 -0.00553477 -0.00553469 1.55599e-06
0.048 -0.0057698 -0.00361841 -0.0057698 -0.00576971 1.556e-06
0.049 -0.00600971 -0.00377072 -0.00600971 -0.00600962 1.55601e-06
0.05 -0.0062545 -0.00392616 -0.0062545 -0.00625441 1.55603e-06
0.051 -0.00650417 -0.00408474 -0.00650417 -0.00650409 1.55604e-06
0.052 -0.00675873 -0.00424646 -0.00675873 -0.00675865 1.55606e-06
0.053 -0.00701818 -0.00441132 -0.00701818 -0.00701809 1.55607e-06
0.054 -0.00728251 -0.00457931 -0.00728251 -0.00728242 1.55609e-06
