x y yRK4 yRK5 h
0.0198921 0.0198921 0.0198921 0 73.7072
0.1 0.00063662 0.00063662 0.00063662 6.88862
0.2 4.69298 4.69298 4.69298 0.0592297
0.3 4.69215 6.59447 5.87604 0.00737563
0.4 4.64029 4.64029 4.64012 0.0208525
0.5 4.63362 4.63362 4.63362 0.0124104
0.6 4.61497 4.61497 4.61495 0.0160806
0.7 4.60383 4.60383 4.60382 0.0141298
0.8 4.58944 4.58944 4.58943 0.0150726
0.9 4.57681 4.57681 4.5768 0.0145947
1 4.56336 4.56336 4.56335 0.0148317
1.1 4.55035 4.55035 4.55034 0.0147133
1.2 4.53716 4.53716 4.53715 0.0147727
1.3 4.52409 4.52409 4.52408 0.0147434
1.4 4.51098 4.51098 4.51097 0.0147584
1.5 4.49793 4.49793 4.49792 0.0147513
1.6 4.48488 4.48488 4.48487 0.0147553
1.7 4.47186 4.47186 4.47185 0.0147537
1.8 4.45885 4.45885 4.45884 0.0147549
1.9 4.44587 4.44587 4.44586 0.0147547
2 4.43291 4.43291 4.4329 0.0147552
2.1 4.41996 4.41996 4.41995 0.0147553
2.2 4.40704 4.40704 4.40703 0.0147557
2.3 4.39414 4.39414 4.39413 0.0147559
2.4 4.38126 4.38126 4.38125 0.0147562
2.5 4.36839 4.36839 4.36838 0.0147565
2.6 4.35555 4.35555 4.35554 0.0147567
2.7 4.34273 4.34273 4.34272 0.014757
2.8 4.32993 4.32993 4.32992 0.0147573
2.9 4.31715 4.31715 4.31714 0.0147576
3 4.30439 4.30439 4.30438 0.0147578
3.1 4.29165 4.29165 4.29164 0.0147581
3.2 4.27893 4.27893 4.27892 0.0147584
3.3 4.26623 4.26623 4.26622 0.0147587
3.4 4.25355 4.25355 4.25354 0.0147589
3.5 4.24089 4.24089 4.24088 0.0147592
3.6 4.22825 4.22825 4.22824 0.0147595
3.7 4.21563 4.21563 4.21562 0.0147598
3.8 4.20303 4.20303 4.20302 0.0147601
3.9 4.19045 4.19045 4.19044 0.0147604
4 4.17789 4.17789 4.17788 0.0147606
4.1 4.16535 4.16535 4.16534 0.0147609
4.2 4.15283 4.15283 4.15282 0.0147612
4.3 4.14034 4.14034 4.14033 0.0147615
4.4 4.12786 4.12786 4.12785 0.0147618
4.5 4.1154 4.1154 4.11539 0.0147621
4.6 4.10296 4.10296 4.10295 0.0147624
4.7 4.09055 4.09055 4.09053 0.0147627
4.8 4.07815 4.07815 4.07814 0.0147629
4.9 4.06577 4.06577 4.06576 0.0147632
5 4.05341 4.05341 4.0534 0.0147635
5.1 4.04108 4.04108 4.04107 0.0147638
5.2 4.02876 4.02876 4.02875 0.0147641
5.3 4.01646 4.01646 4.01645 0.0147644
5.4 4.00419 4.00419 4.00418 0.0147647
5.5 3.99193 3.99193 3.99192 0.014765
5.6 3.9797 3.9797 3.97969 0.0147653
5.7 3.96748 3.96748 3.96747 0.0147656
5.8 3.95529 3.95529 3.95528 0.0147659
5.9 3.94311 3.94311 3.9431 0.0147662
6 3.93096 3.93096 3.93095 0.0147665
6.1 3.91882 3.91882 3.91881 0.0147668
6.2 3.90671 3.90671 3.9067 0.0147671
6.3 3.89461 3.89461 3.8946 0.0147674
6.4 3.88254 3.88254 3.88253 0.0147677
6.5 3.87048 3.87048 3.87047 0.014768
6.6 3.85845 3.85845 3.85844 0.0147684
6.7 3.84643 3.84643 3.84642 0.0147687
6.8 3.83444 3.83444 3.83443 0.014769
6.9 3.82247 3.82247 3.82246 0.0147693
7 3.81051 3.81051 3.8105 0.0147696
7.1 3.79858 3.79858 3.79857 0.0147699
7.2 3.78667 3.78667 3.78665 0.0147702
7.3 3.77477 3.77477 3.77476 0.0147705
7.4 3.7629 3.7629 3.76289 0.0147709
7.5 3.75105 3.75105 3.75104 0.0147712
7.6 3.73921 3.73921 3.7392 0.0147715
7.7 3.7274 3.7274 3.72739 0.0147718
7.8 3.71561 3.71561 3.7156 0.0147721
7.9 3.70383 3.70383 3.70382 0.0147725
8 3.69208 3.69208 3.69207 0.0147728
8.1 3.68035 3.68035 3.68034 0.0147731
8.2 3.66864 3.66864 3.66863 0.0147734
8.3 3.65695 3.65695 3.65694 0.0147738
8.4 3.64527 3.64527 3.64526 0.0147741
8.5 3.63362 3.63362 3.63361 0.0147744
8.6 3.62199 3.62199 3.62198 0.0147747
8.7 3.61038 3.61038 3.61037 0.0147751
8.8 3.59879 3.59879 3.59878 0.0147754
8.9 3.58721 3.58721 3.5872 0.0147757
9 3.57566 3.57566 3.57565 0.0147761
9.1 3.56413 3.56413 3.56412 0.0147764
9.2 3.55262 3.55262 3.55261 0.0147767
9.3 3.54113 3.54113 3.54112 0.0147771
9.4 3.52966 3.52966 3.52965 0.0147774
9.5 3.51821 3.51821 3.5182 0.0147777
9.6 3.50678 3.50678 3.50677 0.0147781
9.7 3.49537 3.49537 3.49535 0.0147784
9.8 3.48397 3.48397 3.48396 0.0147788
9.9 3.4726 3.4726 3.47259 0.0147791
10 3.46125 3.46125 3.46124 0.0147794
10.1 3.44992 3.44992 3.44991 0.0147798
10.2 3.43861 3.43861 3.4386 0.0147801
10.3 3.42732 3.42732 3.42731 0.0147805
10.4 3.41605 3.41605 3.41604 0.0147808
10.5 3.4048 3.4048 3.40479 0.0147812
10.6 3.39357 3.39357 3.39356 0.0147815
10.7 3.38236 3.38236 3.38235 0.0147819
10.8 3.37117 3.37117 3.37116 0.0147822
10.9 3.36 3.36 3.35999 0.0147826
11 3.34885 3.34885 3.34884 0.014783
11.1 3.33772 3.33772 3.33771 0.0147833
11.2 3.32661 3.32661 3.3266 0.0147837
11.3 3.31552 3.31552 3.31551 0.014784
11.4 3.30445 3.30445 3.30444 0.0147844
11.5 3.2934 3.2934 3.29339 0.0147847
11.6 3.28237 3.28237 3.28236 0.0147851
11.7 3.27136 3.27136 3.27135 0.0147855
11.8 3.26037 3.26037 3.26036 0.0147858
11.9 3.2494 3.2494 3.24939 0.0147862
12 3.23845 3.23845 3.23844 0.0147866
12.1 3.22752 3.22752 3.2275 0.0147869
12.2 3.21661 3.21661 3.21659 0.0147873
12.3 3.20572 3.20572 3.2057 0.0147877
12.4 3.19484 3.19484 3.19483 0.0147881
12.5 3.18399 3.18399 3.18398 0.0147884
12.6 3.17316 3.17316 3.17315 0.0147888
12.7 3.16235 3.16235 3.16234 0.0147892
12.8 3.15156 3.15156 3.15155 0.0147896
12.9 3.14079 3.14079 3.14078 0.0147899
13 3.13004 3.13004 3.13003 0.0147903
13.1 3.11931 3.11931 3.1193 0.0147907
13.2 3.1086 3.1086 3.10859 0.0147911
13.3 3.09791 3.09791 3.0979 0.0147915
13.4 3.08724 3.08724 3.08723 0.0147919
13.5 3.07659 3.07659 3.07658 0.0147922
13.6 3.06596 3.06596 3.06595 0.0147926
13.7 3.05535 3.05535 3.05534 0.014793
13.8 3.04476 3.04476 3.04475 0.0147934
13.9 3.03419 3.03419 3.03418 0.0147938
14 3.02364 3.02364 3.02363 0.0147942
14.1 3.01311 3.01311 3.0131 0.0147946
14.2 3.0026 3.0026 3.00259 0.014795
14.3 2.99211 2.99211 2.9921 0.0147954
14.4 2.98164 2.98164 2.98163 0.0147958
14.5 2.97119 2.97119 2.97118 0.0147962
14.6 2.96075 2.96075 2.96074 0.0147966
14.7 2.95034 2.95034 2.95033 0.014797
14.8 2.93995 2.93995 2.93994 0.0147974
14.9 2.92958 2.92958 2.92957 0.0147978
15 2.91923 2.91923 2.91922 0.0147982
15.1 2.9089 2.9089 2.90889 0.0147986
15.2 2.89859 2.89859 2.89858 0.014799
15.3 2.8883 2.8883 2.88829 0.0147994
15.4 2.87802 2.87802 2.87801 0.0147999
15.5 2.86777 2.86777 2.86776 0.0148003
15.6 2.85754 2.85754 2.85753 0.0148007
15.7 2.84733 2.84733 2.84732 0.0148011
15.8 2.83714 2.83714 2.83713 0.0148015
15.9 2.82696 2.82696 2.82695 0.014802
16 2.81681 2.81681 2.8168 0.0148024
16.1 2.80668 2.80668 2.80667 0.0148028
16.2 2.79657 2.79657 2.79656 0.0148032
16.3 2.78647 2.78647 2.78646 0.0148037
16.4 2.7764 2.7764 2.77639 0.0148041
16.5 2.76635 2.76635 2.76634 0.0148045
16.6 2.75632 2.75632 2.75631 0.0148049
16.7 2.7463 2.7463 2.74629 0.0148054
16.8 2.73631 2.73631 2.7363 0.0148058
16.9 2.72634 2.72634 2.72633 0.0148063
17 2.71638 2.71638 2.71637 0.0148067
17.1 2.70645 2.70645 2.70644 0.0148071
17.2 2.69653 2.69653 2.69652 0.0148076
17.3 2.68664 2.68664 2.68663 0.014808
17.4 2.67677 2.67677 2.67676 0.0148085
17.5 2.66691 2.66691 2.6669 0.0148089
17.6 2.65708 2.65708 2.65707 0.0148094
17.7 2.64726 2.64726 2.64725 0.0148098
17.8 2.63747 2.63747 2.63746 0.0148103
17.9 2.62769 2.62769 2.62768 0.0148107
18 2.61794 2.61794 2.61793 0.0148112
18.1 2.6082 2.6082 2.60819 0.0148116
18.2 2.59849 2.59849 2.59848 0.0148121
18.3 2.58879 2.58879 2.58878 0.0148125
18.4 2.57912 2.57912 2.5791 0.014813
18.5 2.56946 2.56946 2.56945 0.0148135
18.6 2.55982 2.55982 2.55981 0.0148139
18.7 2.55021 2.55021 2.5502 0.0148144
18.8 2.54061 2.54061 2.5406 0.0148149
18.9 2.53103 2.53103 2.53102 0.0148153
19 2.52148 2.52148 2.52146 0.0148158
19.1 2.51194 2.51194 2.51193 0.0148163
19.2 2.50242 2.50242 2.50241 0.0148168
19.3 2.49292 2.49292 2.49291 0.0148172
19.4 2.48344 2.48344 2.48343 0.0148177
19.5 2.47399 2.47399 2.47398 0.0148182
19.6 2.46455 2.46455 2.46454 0.0148187
19.7 2.45513 2.45513 2.45512 0.0148192
19.8 2.44573 2.44573 2.44572 0.0148197
19.9 2.43635 2.43635 2.43634 0.0148202
20 2.42699 2.42699 2.42698 0.0148206
20.1 2.41765 2.41765 2.41764 0.0148211
20.2 2.40833 2.40833 2.40832 0.0148216
20.3 2.39903 2.39903 2.39902 0.0148221
20.4 2.38975 2.38975 2.38974 0.0148226
20.5 2.38049 2.38049 2.38048 0.0148231
20.6 2.37125 2.37125 2.37124 0.0148236
20.7 2.36203 2.36203 2.36202 0.0148241
20.8 2.35283 2.35283 2.35281 0.0148246
20.9 2.34364 2.34364 2.34363 0.0148252
21 2.33448 2.33448 2.33447 0.0148257
21.1 2.32534 2.32534 2.32533 0.0148262
21.2 2.31622 2.31622 2.31621 0.0148267
21.3 2.30711 2.30711 2.3071 0.0148272
21.4 2.29803 2.29803 2.29802 0.0148277
21.5 2.28897 2.28897 2.28896 0.0148282
21.6 2.27992 2.27992 2.27991 0.0148288
21.7 2.2709 2.2709 2.27089 0.0148293
21.8 2.26189 2.26189 2.26188 0.0148298
21.9 2.25291 2.25291 2.2529 0.0148304
22 2.24394 2.24394 2.24393 0.0148309
22.1 2.235 2.235 2.23499 0.0148314
22.2 2.22607 2.22607 2.22606 0.014832
22.3 2.21716 2.21716 2.21715 0.0148325
22.4 2.20828 2.20828 2.20827 0.014833
22.5 2.19941 2.19941 2.1994 0.0148336
22.6 2.19056 2.19056 2.19055 0.0148341
22.7 2.18174 2.18174 2.18173 0.0148347
22.8 2.17293 2.17293 2.17292 0.0148352
22.9 2.16414 2.16414 2.16413 0.0148358
23 2.15537 2.15537 2.15536 0.0148363
23.1 2.14662 2.14662 2.14661 0.0148369
23.2 2.13789 2.13789 2.13788 0.0148374
23.3 2.12918 2.12918 2.12917 0.014838
23.4 2.12049 2.12049 2.12048 0.0148386
23.5 2.11182 2.11182 2.11181 0.0148391
23.6 2.10317 2.10317 2.10316 0.0148397
23.7 2.09454 2.09454 2.09453 0.0148403
23.8 2.08593 2.08593 2.08592 0.0148408
23.9 2.07733 2.07733 2.07732 0.0148414
24 2.06876 2.06876 2.06875 0.014842
24.1 2.06021 2.06021 2.0602 0.0148426
24.2 2.05168 2.05168 2.05167 0.0148431
24.3 2.04316 2.04316 2.04315 0.0148437
24.4 2.03467 2.03467 2.03466 0.0148443
24.5 2.02619 2.02619 2.02618 0.0148449
24.6 2.01774 2.01774 2.01773 0.0148455
24.7 2.0093 2.0093 2.00929 0.0148461
24.8 2.00089 2.00089 2.00088 0.0148467
24.9 1.99249 1.99249 1.99248 0.0148473
25 1.98411 1.98411 1.9841 0.0148479
25.1 1.97576 1.97576 1.97574 0.0148485
25.2 1.96742 1.96742 1.96741 0.0148491
25.3 1.9591 1.9591 1.95909 0.0148497
25.4 1.9508 1.9508 1.95079 0.0148503
25.5 1.94252 1.94252 1.94251 0.0148509
25.6 1.93426 1.93426 1.93425 0.0148515
25.7 1.92602 1.92602 1.92601 0.0148522
25.8 1.9178 1.9178 1.91779 0.0148528
25.9 1.9096 1.9096 1.90959 0.0148534
26 1.90142 1.90142 1.90141 0.014854
26.1 1.89325 1.89325 1.89324 0.0148547
26.2 1.88511 1.88511 1.8851 0.0148553
26.3 1.87699 1.87699 1.87698 0.0148559
26.4 1.86889 1.86889 1.86887 0.0148566
26.5 1.8608 1.8608 1.86079 0.0148572
26.6 1.85274 1.85274 1.85273 0.0148579
26.7 1.84469 1.84469 1.84468 0.0148585
26.8 1.83667 1.83667 1.83665 0.0148592
26.9 1.82866 1.82866 1.82865 0.0148598
27 1.82067 1.82067 1.82066 0.0148605
27.1 1.8127 1.8127 1.81269 0.0148611
27.2 1.80476 1.80476 1.80475 0.0148618
27.3 1.79683 1.79683 1.79682 0.0148624
27.4 1.78892 1.78892 1.78891 0.0148631
27.5 1.78103 1.78103 1.78102 0.0148638
27.6 1.77316 1.77316 1.77315 0.0148645
27.7 1.76531 1.76531 1.7653 0.0148651
27.8 1.75748 1.75748 1.75747 0.0148658
27.9 1.74966 1.74966 1.74965 0.0148665
28 1.74187 1.74187 1.74186 0.0148672
28.1 1.7341 1.7341 1.73409 0.0148679
28.2 1.72634 1.72634 1.72633 0.0148686
28.3 1.71861 1.71861 1.7186 0.0148693
28.4 1.7109 1.7109 1.71088 0.01487
28.5 1.7032 1.7032 1.70319 0.0148707
28.6 1.69552 1.69552 1.69551 0.0148714
