x y yRK4 yRK5 h
0.0198858 0.0198858 0.0198858 0 0.02
0.1 0.00063662 0.00063662 0.00063662 0.02
0.2 0.00190986 0.00190986 0.00190986 0.02
0.3 0.0031831 0.0031831 0.0031831 0.02
0.4 0.00445634 0.00445634 0.00445634 0.02
0.5 0.00572958 0.00572958 0.00572958 0.02
0.6 0.00700282 0.00700282 0.00700282 0.02
0.7 0.00827606 0.00827606 0.00827606 0.02
0.8 0.0095493 0.0095493 0.0095493 0.02
0.9 0.0108225 0.0108225 0.0108225 0.02
1 0.0120958 0.0120958 0.0120958 0.02
1.1 0.013369 0.013369 0.013369 0.02
1.2 0.0146423 0.0146423 0.0146423 0.02
1.3 0.0159155 0.0159155 0.0159155 0.02
1.4 0.0171887 0.0171887 0.0171887 0.02
1.5 0.018462 0.018462 0.018462 0.02
1.6 0.0197352 0.0197352 0.0197352 0.02
1.7 0.0210085 0.0210085 0.0210085 0.02
1.8 0.0222817 0.0222817 0.0222817 0.02
1.9 0.0235549 0.0235549 0.0235549 0.02
2 0.0248282 0.0248282 0.0248282 0.02
2.1 0.0261014 0.0261014 0.0261014 0.02
2.2 0.0273747 0.0273747 0.0273747 0.02
2.3 0.0286479 0.0286479 0.0286479 0.02
2.4 0.0299211 0.0299211 0.0299211 0.02
2.5 0.0311944 0.0311944 0.0311944 0.02
2.6 0.0324676 0.0324676 0.0324676 0.02
2.7 0.0337408 0.0337408 0.0337408 0.02
2.8 0.0350141 0.0350141 0.0350141 0.02
2.9 0.0362873 0.0362873 0.0362873 0.02
3 0.0375606 0.0375606 0.0375606 0.02
3.1 0.0388338 0.0388338 0.0388338 0.02
3.2 0.040107 0.040107 0.040107 0.02
3.3 0.0413803 0.0413803 0.0413803 0.02
3.4 0.0426535 0.0426535 0.0426535 0.02
3.5 0.0439268 0.0439268 0.0439268 0.02
3.6 0.0452 0.0452 0.0452 0.02
3.7 0.0464732 0.0464732 0.0464732 0.02
3.8 0.0477465 0.0477465 0.0477465 0.02
3.9 0.0490197 0.0490197 0.0490197 0.02
4 0.050293 0.050293 0.050293 0.02
4.1 0.0515662 0.0515662 0.0515662 0.02
4.2 0.0528394 0.0528394 0.0528394 0.02
4.3 0.0541127 0.0541127 0.0541127 0.02
4.4 0.0553859 0.0553859 0.0553859 0.02
4.5 0.0566592 0.0566592 0.0566592 0.02
4.6 0.0579324 0.0579324 0.0579324 0.02
4.7 0.0592056 0.0592056 0.0592056 0.02
4.8 0.0604789 0.0604789 0.0604789 0.02
4.9 0.0617521 0.0617521 0.0617521 0.02
5 0.0630254 0.0630254 0.0630254 0.02
5.1 0.0642986 0.0642986 0.0642986 0.02
5.2 0.0655718 0.0655718 0.0655718 0.02
5.3 0.0668451 0.0668451 0.0668451 0.02
5.4 0.0681183 0.0681183 0.0681183 0.02
5.5 0.0693916 0.0693916 0.0693916 0.02
5.6 0.0706648 0.0706648 0.0706648 0.02
5.7 0.071938 0.071938 0.071938 0.02
5.8 0.0732113 0.0732113 0.0732113 0.02
5.9 0.0744845 0.0744845 0.0744845 0.02
6 0.0757578 0.0757578 0.0757578 0.02
6.1 0.077031 0.077031 0.077031 0.02
6.2 0.0783042 0.0783042 0.0783042 0.02
6.3 0.0795775 0.0795775 0.0795775 0.02
6.4 0.0808507 0.0808507 0.0808507 0.02
6.5 0.082124 0.082124 0.082124 0.02
6.6 0.0833972 0.0833972 0.0833972 0.02
6.7 0.0846704 0.0846704 0.0846704 0.02
6.8 0.0859437 0.0859437 0.0859437 0.02
6.9 0.0872169 0.0872169 0.0872169 0.02
7 0.0884901 0.0884901 0.0884901 0.02
7.1 0.0897634 0.0897634 0.0897634 0.02
7.2 0.0910366 0.0910366 0.0910366 0.02
